img/why/leapday.jpeg,why,Length of Day,Leap Day makes up for clocks slowing down,Leap Day exists to give us a day off,Leap Day makes up the day not being exactly 24 hours,Leap Day makes us exercise,3
img/why/bluesky.jpeg,why,Wavelengths,The sky is blue because the air turns blue at low pressure,The sky is blue because blue is scattered more strongly than red,The sky is blue because the earth's ceiling is painted blue,The sky is blue because of pollution,2
img/why/brownpoop.jpeg,why,Stomach juice,Poop is brown because of bile,Poop is brown because of dead blood cells,Poop is brown because undigested food is brown,1
img/why/yawn.jpeg,why,Air,We yawn because we're tired,We yawn to stretch our mouth muscles,We yawn because we're bored,We yawn to get more oxygen,4
img/why/firetruck.jpeg,why,Sports,Firetrucks are red originally because of competition between fire brigades,Firetrucks are red because they're easier to see,Firetrucks are red because it's the law,Firetrucks are red to match the lights,1
img/why/malenipples.jpeg,why,Start out the same,Males have nipples for pleasure,Males have nipples because males and females start out with the same genetic blueprint,Males have nipples because male bodies would look like dolls without them,Males have nipples because we all start out female,2
img/why/eyestwitching.jpeg,why,Tired,Our eyes twitch because of a vitamin deficiency,Our eyes twitch when we're nervous,Our eyes twitch because we're having a stroke,Our eyes twitch because of fatigue,4
img/why/flaghalfmast.jpeg,why,Funeral,Flags are flown half-mast to honor someone who has died,Flags are flown half-mast to make them last longer,Flags are flown half-mast on holidays,Flags are flown half-mast to make then last longer,1
img/why/blackfriday.jpeg,why,Sale,Black Friday is a special day when everyone wears back,Black Friday signifies the start of the Great Depression,Black Friday is when retailers are in the black for the year,Black Friday gives everyone something to do the day after Thanksgiving,3
img/why/manholecover.jpeg,why,Fall,Manhole covers are round because they don't fall in through a circular opening,Manhole covers are round because they fly better,Manhole covers are round because they're cheaper to manufacture,1
img/why/crying.jpeg,why,Feelings,We cry in response to strong emotions,We cry due to stupid jokes,We cry to contemplate life decisions,We cry because of coding,1
img/why/saltyocean.jpeg,why,Rocks,Oceans are salty because Gordon Ramsay poured salt all over it,Oceans are salty because animals urination,Oceans are salty because rivers take salt from rocks on the land,Oceans are salty because they play too much DotA,3
img/why/sneeze.jpeg,why,Bothered,We sneeze when we want to pee,We sneeze when foreign particles irritate the nasal mucosa,We sneeze when we are in shock,We sneeze when we are so happy,2
img/why/pluto.jpeg,why,Cluttered,Pluto isn't a planet because it has not cleared orbital debris,Pluto isn't a planet because it is too small,Pluto isn't a planet because it is a dog's name,Pluto isn't a planet because it's color is blue,1
img/why/greatwallofchina.jpeg,why,Grill,The great wall of China was built to keep Mexicans from getting to China,The great wall of China was built because they were bored,The great wall of China was built for protection from the Mongolians,The great wall of China was built because they were Trump's supporter,3
img/why/halloween.jpeg,why,Halloween celebrates Adam & Eve,Halloween celebrates All Hallows Eve,Halloween celebrates the day candies are made,Halloween celebrates the death of monsters,2
img/why/sleep.jpeg,why,The store,We sleep to restore and rejuvenate,We sleep to lose weight,We sleep because it will help us to charge our phone,We sleep because sleep makes you a genius,1
img/why/dogwagging.jpeg,why,Talk,Dogs wag their tails to communicate,Dogs wag their tails because they want to pee,Dogs wag their tails to show dominance,Dogs wag their tails because they want to shag,1
img/why/hiccup.jpeg,why,Bothered,Hiccups happen when we are hungry,Hiccups happen when the diaphragm becomes irritated,Hiccups happen whenour crush is nearby,Hiccups happen when we are dying,2
img/why/fart.jpeg,why,Chew,We fart because fart shows that we have a disease,We fart because farting is fun,We fart because of the digestive process,We fart because farting makes you smarter,3
